Column1,Column2,Column3
,GenBank accession numbers,
Clone name,VH,VL
ADI-15989,KU602585,KU602586
ADI-15990,KU602587,KU602588
ADI-15991,KU602589,KU602590
ADI-15992,KU602591,KU602592
ADI-15993,KU602593,KU602594
ADI-15994,KU602595,KU602596
ADI-15995,KU602597,KU602598
ADI-15996,KU602599,KU602600
ADI-15997,KU602601,KU602602
ADI-15998,KU602603,KU602604
ADI-15999,KU602605,KU602606
ADI-16000,KU602607,KU602608
ADI-16001,KU602609,KU602610
ADI-16003,KU602611,KU602612
ADI-16005,KU602613,KU602614
ADI-16006,KU602615,KU602616
ADI-16007,KU602617,KU602618
ADI-16008,KU602619,KU602620
ADI-16009,KU602621,KU602622
ADI-16010,KU602623,KU602624
ADI-16011,KU602625,KU602626
ADI-16012,KU602627,KU602628
ADI-16013,KU602629,KU602630
ADI-16015,KU602631,KU602632
ADI-16016,KU602633,KU602634
ADI-16017,KU602635,KU602636
ADI-16018,KU602637,KU602638
ADI-16019,KU602639,KU602640
ADI-16020,KU602641,KU602642
ADI-16021,KU602643,KU602644
ADI-16022,KU602645,KU602646
ADI-16024,KU602647,KU602648
ADI-16025,KU602649,KU602650
ADI-16026,KU602651,KU602652
ADI-16027,KU602653,KU602654
ADI-16028,KU602655,KU602656
ADI-16029,KU602657,KU602658
ADI-16030,KU602659,KU602660
ADI-16031,KU602661,KU602662
ADI-16032,KU602663,KU602664
ADI-16033,KU602665,KU602666
ADI-16034,KU602667,KU602668
ADI-16035,KU602669,KU602670
ADI-16036,KU602671,KU602672
ADI-16037,KU602673,KU602674
ADI-16038,KU602675,KU602676
ADI-16039,KU602677,KU602678
ADI-16040,KU602679,KU602680
ADI-16041,KU602681,KU602682
ADI-16042,KU602683,KU602684
ADI-16043,KU602685,KU602686
ADI-16044,KU602687,KU602688
ADI-16045,KU602689,KU602690
ADI-16046,KU602691,KU602692
ADI-16047,KU602693,KU602694
ADI-16048,KU602695,KU602696
ADI-16049,KU602697,KU602698
ADI-16050,KU602699,KU602700
ADI-16051,KU602701,KU602702
ADI-16052,KU602703,KU602704
ADI-16053,KU602705,KU602706
ADI-16054,KU602707,KU602708
ADI-16055,KU602709,KU602710
ADI-16056,KU602711,KU602712
ADI-16058,KU602713,KU602714
ADI-16059,KU602715,KU602716
ADI-16060,KU602717,KU602718
ADI-16061,KU602719,KU602720
ADI-16062,KU602721,KU602722
ADI-16063,KU602723,KU602724
